Date,CloseUSD
1965-11-18,13.40469971
1965-11-19,13.29280029
1965-11-22,13.43670044
1965-11-24,13.54420044
1965-11-25,13.25560059
1965-11-26,13.35930054
1965-11-29,13.59810059
1965-11-30,13.73160034
1965-12-01,13.77670044
1965-12-02,14.090699460000002
1965-12-03,13.76560059
1965-12-06,13.1526001
1965-12-07,13.49300049
1965-12-08,13.57780029
1965-12-09,13.300799560000002
1965-12-10,13.349399410000002
1965-12-13,13.40050049
1965-12-14,13.47829956
1965-12-15,13.62810059
1965-12-16,13.73619995
1965-12-17,13.69839966
1965-12-20,13.67420044
1965-12-21,13.64969971
1965-12-22,13.73790039
1965-12-24,13.89290039
1965-12-27,14.1277002
1965-12-28,14.17829956
1965-12-29,14.17829956
1965-12-30,14.17829956
1965-12-31,528.690002
1966-01-03,527.210022
1966-01-04,527.840027
1966-01-04,14.30130005
1966-01-05,531.119995
1966-01-05,14.14869995
1966-01-06,532.070007
1966-01-06,14.349399410000002
1966-01-07,532.599976
1966-01-07,14.28530029
1966-01-10,533.869995
1966-01-11,534.289978
1966-01-11,14.10430054
1966-01-12,14.18459961
1966-01-12,533.340027
1966-01-13,14.1625
1966-01-13,534.400024
1966-01-14,14.16119995
1966-01-14,535.450012
1966-01-17,537.460022
1966-01-17,14.21099976
1966-01-18,14.1401001
1966-01-18,538.940002
1966-01-19,537.669983
1966-01-19,14.14550049
1966-01-20,535.669983
1966-01-20,14.21560059
1966-01-21,14.35339966
1966-01-21,535.97998
1966-01-24,537.669983
1966-01-24,14.51680054
1966-01-25,538.099976
1966-01-25,14.45339966
1966-01-26,14.57189941
1966-01-26,537.570007
1966-01-27,14.5476001
1966-01-27,537.359985
1966-01-28,14.65829956
1966-01-28,535.669983
1966-01-31,14.70380005
1966-01-31,533.340027
1966-02-01,529.109985
1966-02-01,14.8523999
1966-02-02,14.92420044
1966-02-02,531.440002
1966-02-03,532.070007
1966-02-03,14.82699951
1966-02-04,14.87089966
1966-02-04,535.450012
1966-02-07,14.98890015
1966-02-07,537.25
1966-02-08,15.03910034
1966-02-08,536.830017
1966-02-09,539.890015
1966-02-09,15.05699951
1966-02-10,538.409973
1966-02-10,14.891099850000002
1966-02-11,538.309998
1966-02-14,14.6427002
1966-02-14,537.780029
1966-02-15,535.450012
1966-02-15,14.53099976
1966-02-16,535.349976
1966-02-16,14.64670044
1966-02-17,14.4202002
1966-02-17,532.48999
1966-02-18,14.59630005
1966-02-18,531.440002
1966-02-21,528.26001
1966-02-21,14.65790039
1966-02-22,14.65420044
1966-02-23,14.80469971
1966-02-23,525.940002
1966-02-24,14.90780029
1966-02-24,522.450012
1966-02-25,14.9176001
1966-02-25,523.929993
1966-02-28,524.559998
1966-02-28,15.07410034
1966-03-01,15.20709961
1966-03-01,517.900024
1966-03-02,512.830017
1966-03-02,15.14619995
1966-03-03,514.940002
1966-03-03,15.17839966
1966-03-04,513.349976
1966-03-04,15.2498999
1966-03-07,506.380005
1966-03-07,15.3375
1966-03-08,506.899994
1966-03-08,15.45780029
1966-03-09,511.130005
1966-03-09,15.42719971
1966-03-10,15.29930054
1966-03-10,511.23999
1966-03-11,510.820007
1966-03-11,15.12189941
1966-03-14,504.899994
1966-03-14,15.35040039
1966-03-15,501.51001
1966-03-15,15.40589966
1966-03-16,15.60089966
1966-03-16,504.26001
1966-03-17,15.5125
1966-03-17,505.850006
1966-03-18,15.5877002
1966-03-18,508.279999
1966-03-21,512.190002
1966-03-22,513.669983
1966-03-22,15.68280029
1966-03-23,15.62650024
1966-03-23,511.980011
1966-03-24,512.719971
1966-03-24,15.71829956
1966-03-25,513.98999
1966-03-25,15.50209961
1966-03-28,15.66599976
1966-03-28,514.940002
1966-03-29,512.830017
1966-03-29,15.795699460000002
1966-03-30,15.77130005
1966-03-30,508.600006
1966-03-31,15.84280029
1966-03-31,511.450012
1966-04-01,15.8872998
1966-04-01,515.580017
1966-04-04,520.22998
1966-04-04,15.73869995
1966-04-05,15.73069946
1966-04-05,523.51001
1966-04-06,524.880005
1966-04-06,15.64660034
1966-04-07,525.940002
1966-04-07,15.40459961
1966-04-08,15.48
1966-04-11,15.36880005
1966-04-11,525.72998
1966-04-12,15.5151001
1966-04-12,524.140015
1966-04-13,524.349976
1966-04-13,15.55709961
1966-04-14,525.409973
1966-04-14,15.37900024
1966-04-15,15.35199951
1966-04-15,526.359985
1966-04-18,15.31530029
1966-04-18,524.25
1966-04-19,15.08040039
1966-04-19,524.559998
1966-04-20,14.86930054
1966-04-20,527.419983
1966-04-21,15.02800049
1966-04-21,529.109985
1966-04-22,15.03089966
1966-04-22,528.049988
1966-04-25,15.30160034
1966-04-25,527.52002
1966-04-26,15.23
1966-04-26,526.150024
1966-04-27,15.570699460000002
1966-04-27,524.349976
1966-04-28,15.53680054
1966-04-28,521.179993
1966-04-29,521.179993
1966-05-02,15.65550049
1966-05-02,520.539978
1966-05-03,514.72998
1966-05-04,511.980011
1966-05-05,503.100006
1966-05-06,502.149994
1966-05-06,15.81579956
1966-05-09,15.72939941
1966-05-09,493.480011
1966-05-10,497.709991
1966-05-10,15.68369995
1966-05-11,498.549988
1966-05-11,15.75290039
1966-05-12,492.420013
1966-05-12,15.8272998
1966-05-13,15.71099976
1966-05-13,487.339996
1966-05-16,480.890015
1966-05-16,15.58150024
1966-05-17,476.450012
1966-05-17,15.59670044
1966-05-18,15.64939941
1966-05-18,485.549988
1966-05-19,484.809998
1966-05-19,15.56839966
1966-05-20,487.130005
1966-05-20,15.5275
1966-05-23,15.61140015
1966-05-23,491.470001
1966-05-24,15.74060059
1966-05-24,494.850006
1966-05-25,15.68930054
1966-05-25,496.75
1966-05-26,15.72969971
1966-05-26,496.75
1966-05-27,498.450012
1966-05-27,15.50060059
1966-05-30,15.12630005
1966-05-31,491.679993
1966-05-31,15.14150024
1966-06-01,14.90849976
1966-06-01,491.779999
1966-06-02,491.470001
1966-06-02,15.02670044
1966-06-03,15.17810059
1966-06-03,492.100006
1966-06-06,488.609985
1966-06-06,15.245
1966-06-07,485.119995
1966-06-07,15.16900024
1966-06-08,485.859985
1966-06-08,15.11800049
1966-06-09,15.07030029
1966-06-09,489.350006
1966-06-10,15.1501001
1966-06-10,494.640015
1966-06-13,496.970001
1966-06-13,15.265
1966-06-14,498.660004
1966-06-14,15.43099976
1966-06-15,496.75
1966-06-15,15.4577002
1966-06-16,15.30349976
1966-06-16,495.589996
1966-06-17,495.700012
1966-06-17,15.19420044
1966-06-20,495.48999
1966-06-20,15.14939941
1966-06-21,15.22709961
1966-06-21,497.279999
1966-06-22,15.13949951
1966-06-22,498.230011
1966-06-23,496.230011
1966-06-23,15.04140015
1966-06-24,496.440002
1966-06-24,15.13380005
1966-06-27,493.369995
1966-06-27,15.21
1966-06-28,491.040009
1966-06-28,15.10140015
1966-06-29,15.1452002
1966-06-29,486.179993
1966-06-30,14.94900024
1966-06-30,485.440002
1966-07-01,15.09160034
1966-07-01,490.200012
1966-07-04,15.32660034
1966-07-05,15.25560059
1966-07-05,491.040009
1966-07-06,15.12780029
1966-07-06,497.920013
1966-07-07,499.709991
1966-07-07,15.24949951
1966-07-08,500.559998
1966-07-08,15.07109985
1966-07-11,499.820007
1966-07-11,14.805
1966-07-12,497.279999
1966-07-12,14.51920044
1966-07-13,494.220001
1966-07-13,14.43829956
1966-07-14,497.070007
1966-07-14,14.45849976
1966-07-15,14.65209961
1966-07-15,498.549988
1966-07-18,498.019989
1966-07-18,14.34680054
1966-07-19,14.60550049
1966-07-19,494.429993
1966-07-20,489.98999
1966-07-21,489.880005
1966-07-21,14.72329956
1966-07-22,489.459991
1966-07-22,14.75390015
1966-07-25,480.26001
1966-07-25,14.7097998
1966-07-26,479.100006
1966-07-26,14.6822998
1966-07-27,14.8601001
1966-07-27,481.529999
1966-07-28,479.730011
1966-07-28,14.8602002
1966-07-29,14.99
1966-07-29,478.880005
1966-08-01,14.95880005
1966-08-01,471.589996
1966-08-02,471.480011
1966-08-02,14.94040039
1966-08-03,476.140015
1966-08-03,14.90790039
1966-08-04,480.470001
1966-08-04,14.79079956
1966-08-05,14.79849976
1966-08-05,481.100006
1966-08-08,14.75050049
1966-08-08,479.839996
1966-08-09,14.87619995
1966-08-09,478.779999
1966-08-10,476.660004
1966-08-10,14.86609985
1966-08-11,14.83579956
1966-08-11,476.23999
1966-08-12,477.399994
1966-08-12,14.86380005
1966-08-15,475.079987
1966-08-15,14.96939941
1966-08-16,14.97349976
1966-08-16,468.940002
1966-08-17,466.200012
1966-08-17,14.94130005
1966-08-18,460.269989
1966-08-18,14.86209961
1966-08-19,456.890015
1966-08-19,14.66430054
1966-08-22,14.636899410000002
1966-08-22,448.75
1966-08-23,14.69550049
1966-08-23,448.220001
1966-08-24,14.50609985
1966-08-24,453.51001
1966-08-25,14.5623999
1966-08-25,447.799988
1966-08-26,14.59
1966-08-26,437.859985
1966-08-29,14.56630005
1966-08-29,426.329987
1966-08-30,433.420013
1966-08-30,14.68290039
1966-08-31,440.399994
1966-08-31,14.63040039
1966-09-01,14.72859985
1966-09-01,443.459991
1966-09-02,14.70949951
1966-09-02,442.089996
1966-09-05,14.5677002
1966-09-06,439.660004
1966-09-06,14.53319946
1966-09-07,435.73999
1966-09-07,14.4123999
1966-09-08,434.26001
1966-09-08,14.49880005
1966-09-09,435.640015
1966-09-09,14.36150024
1966-09-12,14.42369995
1966-09-12,444.839996
1966-09-13,447.369995
1966-09-13,14.40619995
1966-09-14,451.5
1966-09-14,14.3123999
1966-09-15,456.26001
1966-09-16,456.149994
1966-09-16,14.22170044
1966-09-19,454.040009
1966-09-19,14.35890015
1966-09-20,14.54359985
1966-09-20,450.970001
1966-09-21,443.359985
1966-09-21,14.5147998
1966-09-22,444.309998
1966-09-22,14.61439941
1966-09-23,443.040009
1966-09-26,444.100006
1966-09-26,14.67689941
1966-09-27,14.71150024
1966-09-27,445.369995
1966-09-28,440.079987
1966-09-28,14.6676001
1966-09-29,435.320007
1966-09-29,14.64589966
1966-09-30,436.700012
1966-09-30,14.64589966
1966-10-03,427.390015
1966-10-03,14.6923999
1966-10-04,14.59329956
1966-10-04,427.920013
1966-10-05,425.48999
1966-10-05,14.61599976
1966-10-06,421.359985
1966-10-06,14.50339966
1966-10-07,14.44890015
1966-10-07,416.290009
1966-10-10,423.480011
1966-10-11,425.700012
1966-10-11,14.42219971
1966-10-12,437.220001
1966-10-12,14.36709961
1966-10-13,14.45030029
1966-10-13,437.01001
1966-10-14,14.48170044
1966-10-14,435.73999
1966-10-17,14.32920044
1966-10-17,440.609985
1966-10-18,447.799988
1966-10-18,14.32920044
1966-10-19,444.519989
1966-10-19,14.33459961
1966-10-20,443.25
1966-10-20,14.2698999
1966-10-21,444.839996
1966-10-21,14.2026001
1966-10-24,446.0
1966-10-24,14.13780029
1966-10-25,14.18560059
1966-10-25,448.429993
1966-10-26,14.12199951
1966-10-26,452.450012
1966-10-27,456.26001
1966-10-27,14.08089966
1966-10-28,456.470001
1966-10-28,14.30040039
1966-10-31,14.4102002
1966-10-31,456.359985
1966-11-01,14.31920044
1966-11-01,459.850006
1966-11-02,14.31920044
1966-11-02,460.380005
1966-11-03,458.790009
1966-11-04,14.38579956
1966-11-04,460.269989
1966-11-07,460.170013
1966-11-07,14.45079956
1966-11-08,14.43599976
